Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
"Vologodskaya Oblast",3.56,-10.28,-9.54,-3.85,3.65,10.69,15.11,17.82,15.60,10.33,3.68,-3.00,-7.50
"Belgorodskaya Oblast",7.91,-5.82,-5.23,0.27,9.22,15.67,19.38,21.31,20.44,14.61,7.71,0.99,-3.66
"Volgogradskaya Oblast",8.59,-6.37,-6.03,-0.15,9.58,16.87,21.42,23.55,22.47,16.21,8.83,0.96,-4.24
"Bashkortostan Rep.",3.50,-13.61,-12.74,-5.56,5.26,13.38,17.90,19.80,17.72,11.76,4.30,-4.77,-11.43
"Vladimirskaya Oblast",5.51,-8.27,-7.76,-2.30,6.50,13.65,17.33,19.38,17.66,12.14,5.46,-1.56,-6.11
"Astrakhanskaya Oblast",10.62,-4.43,-3.79,2.39,11.24,18.48,23.56,25.76,24.56,18.24,10.79,2.91,-2.27
"Ustordynskiy Buryatskiy Okrug",-0.61,-21.96,-17.48,-8.15,2.19,9.08,15.69,18.61,15.83,8.96,0.32,-10.88,-19.48
"Arkhangelskaya Oblast",1.65,-12.83,-11.84,-5.67,1.21,8.09,13.54,16.72,14.01,8.87,2.09,-4.79,-9.57
"Amurskaya Oblast",-3.91,-28.31,-22.94,-12.91,-0.42,8.51,15.04,18.01,15.50,8.44,-2.22,-17.62,-27.97
"Altayskiy Kray",3.00,-16.19,-13.79,-6.28,5.43,13.06,18.69,20.23,18.10,11.86,4.44,-6.07,-13.43
"Kurganskaya Oblast",2.97,-15.49,-13.72,-5.80,5.40,13.28,18.15,19.72,17.45,11.47,4.24,-6.00,-13.04
"Krasnoyarskiy Kray",-2.14,-22.20,-19.14,-10.14,-0.97,6.53,15.06,17.46,14.81,7.60,-1.31,-13.03,-20.36
"Ulyanovskaya Oblast",5.54,-9.98,-9.53,-3.43,6.81,14.88,18.91,20.98,19.33,13.12,5.72,-2.34,-8.01
"Krasnodarskiy Kray",11.83,-0.16,0.64,5.25,11.46,16.86,21.13,23.77,23.61,18.51,12.44,6.50,1.91
"Udmurtiya Rep.",3.64,-12.16,-11.00,-4.41,4.70,12.72,17.23,19.42,16.81,11.04,3.95,-4.42,-10.20
"Kostromskaya Oblast",4.08,-10.23,-9.32,-3.37,4.74,12.02,16.29,18.72,16.42,10.84,3.97,-3.18,-7.91
"Tyva Rep.",-4.07,-27.10,-23.64,-13.60,-0.46,6.72,12.88,15.11,12.72,6.80,-1.92,-13.37,-22.95
"Altay Rep.",-3.18,-22.43,-20.39,-12.76,-0.40,6.38,11.78,13.78,11.83,6.22,-1.68,-11.68,-18.87
"Koryakskiy Okrug",-5.38,-21.07,-19.83,-15.72,-9.30,0.31,8.13,11.91,10.40,5.44,-3.42,-12.35,-19.02
"Tyumenskaya Oblast",1.38,-17.51,-15.38,-6.88,3.37,11.13,16.92,18.86,16.05,10.06,2.74,-7.99,-14.86
"Aginskiy Buryatskiy A. Okrug",-1.34,-24.28,-18.92,-9.49,1.59,9.62,16.31,18.97,16.55,9.37,-0.40,-13.15,-22.27
"Komi-permyatskiy Okrug",2.25,-13.78,-12.08,-4.85,3.12,10.57,15.74,18.28,15.11,9.56,2.63,-5.84,-11.47
"Tverskaya Oblast",5.25,-7.34,-6.92,-1.88,5.64,12.19,15.75,18.14,16.67,11.43,5.17,-0.86,-5.01
"Adygeya Rep.",11.21,-0.02,0.81,5.11,10.59,15.51,19.56,22.28,22.37,17.73,12.22,6.49,1.91
"Komi Rep.",-0.79,-17.00,-15.44,-8.06,-1.26,5.98,12.58,16.12,12.62,7.40,0.05,-8.60,-13.90
"Tulskaya Oblast",6.08,-7.23,-6.99,-1.80,7.12,14.02,17.62,19.48,18.30,12.61,5.94,-0.83,-5.21
"Tomskaya Oblast",0.12,-19.14,-16.31,-7.68,1.26,9.00,16.51,18.53,15.74,9.12,1.14,-9.94,-16.81
"Leningradskaya Oblast",5.02,-6.96,-6.92,-2.27,4.38,10.73,14.98,17.95,16.34,11.40,5.08,-0.30,-4.21
"Administrative unit not available",13.00,0.29,1.04,5.67,12.22,18.37,23.74,26.13,25.93,20.28,13.72,6.60,2.06
"Kurskaya Oblast",7.16,-6.21,-5.78,-0.47,8.40,14.95,18.48,20.34,19.42,13.69,6.95,0.34,-4.18
"Novgorodskaya Oblast",5.46,-6.67,-6.50,-1.57,5.54,11.83,15.38,18.09,16.65,11.71,5.41,-0.17,-4.20
"Name Unknown",11.07,-2.81,-2.01,3.63,11.54,17.64,22.19,24.77,24.10,18.45,11.35,4.47,-0.42
"Murmanskaya Oblast",0.20,-11.43,-11.65,-7.04,-1.66,4.34,10.02,13.72,11.66,7.04,0.69,-4.84,-8.49
Moskva,6.08,-6.54,-6.12,-1.08,6.76,13.50,17.09,19.20,17.63,12.11,5.76,-0.63,-4.64
"Moskovskaya Oblast",5.85,-7.10,-6.70,-1.54,6.61,13.42,17.03,19.10,17.61,12.07,5.69,-0.86,-5.08
"Mordoviya Rep.",5.59,-9.09,-8.67,-2.97,6.94,14.37,18.22,20.29,18.68,12.75,5.61,-1.94,-7.07
"Yevreyskaya A. Oblast",1.55,-21.49,-16.84,-7.31,4.40,12.26,18.07,21.43,19.55,13.22,3.99,-8.86,-19.80
"Chelyabinskaya Oblast",3.06,-14.54,-13.36,-5.92,5.14,13.04,17.78,19.52,17.44,11.40,4.03,-5.42,-12.42
"Mariy-el Rep.",4.69,-10.45,-9.58,-3.45,5.68,13.53,17.71,19.92,17.76,11.87,4.70,-3.04,-8.39
"Yaroslavskaya Oblast",4.90,-8.58,-7.94,-2.44,5.35,12.44,16.32,18.69,16.79,11.36,4.86,-1.81,-6.18
"Chechnya Rep.",9.04,-4.54,-3.23,2.05,8.79,14.63,19.57,22.23,21.92,16.81,10.09,2.68,-2.56
"Magadanskaya Oblast",-10.43,-31.67,-29.25,-22.14,-11.95,-0.34,7.85,11.24,8.93,2.89,-8.63,-22.13,-29.94
"Yamalo-nenetskiy Okrug",-5.25,-22.69,-21.27,-13.73,-7.31,0.80,9.71,13.42,10.86,5.27,-3.38,-14.65,-20.01
"Buryatiya Rep.",-4.55,-26.72,-22.15,-13.07,-2.11,5.71,12.72,15.69,13.10,5.88,-3.60,-15.67,-24.32
"Lipetskaya Oblast",6.68,-7.16,-7.05,-1.60,8.03,14.93,18.57,20.40,19.30,13.53,6.62,-0.40,-5.03
"Voronezhskaya Oblast",7.68,-6.51,-6.19,-0.54,9.06,15.83,19.69,21.59,20.65,14.82,7.62,0.50,-4.33
"Nizhegorodskaya Oblast",5.10,-9.38,-8.58,-2.83,6.17,13.55,17.51,19.72,17.78,12.00,4.97,-2.43,-7.33
"Nenetskiy Okrug",-5.58,-20.79,-20.07,-14.21,-9.04,-1.35,6.82,11.84,8.87,4.12,-3.98,-12.34,-16.87
